CEO Name,Founder (Y/N),Total Stock Return (TSR) During CEO's Tenure,Company Name,Ticker,Industry,Sector,CEO Compensation ($ millions),Equity Transactions,CEO Start Date,Start Date Stock Price,Stock Price
Steve Sanghi,N,1%,Microchip Technology Inc.,MCHP,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/sanghi-steve-378143,2024-11-18,$64.80 ,$65.73 
Dirk Van de Put,N,89%,Mondelez International Inc.,MDLZ,Packaged Foods,Consumer Staples, ,https://www.nasdaq.com/market-activity/insiders/van-de-put-dirk-869160,2017-11-01,$35.46 ,$66.93 
Marcos Galperin,Y,4700%,MercadoLibre Inc.,MELI,Business Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/galperin-marcos-753953,2007-08-17,$49.42 ,"$2,371.98 "
Mark Zuckerberg,Y,3335%,Meta Platforms ,META,"Computer Software: Programming, Data Processing",Technology, ,https://www.nasdaq.com/market-activity/insiders/zuckerberg-mark-882215,2012-05-18,$19.88 ,$682.87 
Hilton H Schlosberg,N,0%,Monster Beverage Corp.,MNST,Beverages (Production/Distribution),Consumer Staples, ,https://www.nasdaq.com/market-activity/insiders/schlosberg-hilton-h-637183,2025-06-13,$63.06 ,$63.06 
Matthew Murphy,N,654%,Marvell Technology Inc.,MRVL,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/murphy-matthew-j-726843,2016-07-01,$8.91 ,$67.19 
Satya Nadella,N,1457%,Microsoft Corp,MSFT,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/nadella-satya-848613,2014-02-04,$30.50 ,$474.96 
Phong Le,N,1289%,MicroStrategy Incorporated,MSTR,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/le-phong-973981,2022-08-01,$27.57 ,$382.87 
Sanjay Mehrotra,N,320%,Micron Technology Inc.,MU,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/mehrotra-sanjay-420038,2017-05-08,$27.53 ,$115.60 
Greg Peters,N,264%,Netflix,NFLX,Consumer Electronics/Video Chains,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/peters-gregory-k-912295,2023-01-13,$332.82 ,"$1,212.15 "
Ted Sarandos,N,131%,Netflix,NFLX,Consumer Electronics/Video Chains,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/sarandos-theodore-a-738534,2020-07-14,$524.88 ,"$1,212.15 "
"Jen-Hsun ""Jensen"" Huang",Y,354825%,NVIDIA Corp.,NVDA,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/huang-jen-hsun-405618,1999-01-22,$0.04 ,$141.97 
Kurt Sievers,N,116%,NXP Semiconductors NV,NXPI,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/sievers-kurt-1092493,2020-05-27,$97.45 ,$210.90 
"Kevin ""Marty"" Freeman",N,-13%,Old Dominion Freight Line Inc.,ODFL,Trucking Freight/Courier Services,Industrials, ,https://www.nasdaq.com/market-activity/insiders/freeman-kevin-m-845115,2023-07-01,$183.09 ,$160.18 
Hassane El-Khoury,N,67%,ON Semiconductor Corp.,ON,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/el-khoury-hassane-890121,2020-12-07,$30.58 ,$51.02 
Brad Beckham,N,-91%,O'Reilly Automotive Inc.,ORLY,Auto & Home Supply Stores,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/beckham-brad-w-951013,2024-01-31,"$1,023.05 ",$89.91 
Nikesh Arora,N,179%,Palo Alto Networks Inc.,PANW,Computer peripheral equipment,Technology, ,https://www.nasdaq.com/market-activity/insiders/arora-nikesh-808616,2018-06-06,$70.39 ,$196.27 
John B. Gibson,N,48%,Paychex Inc.,PAYX,Diversified Commercial Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/gibson-john-b-764701,2022-10-14,$103.63 ,$153.22 
R. Preston Feight,N,130%,PACCAR Inc.,PCAR,Auto Manufacturing,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/feight-r-preston-984583,2019-07-01,$39.93 ,$91.88 
Lei Chen,Y,36%,PDD Holdings Inc ADR,PDD,Business Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/stocks/pdd/insider-activity,2023-04-01,$74.07 ,$100.58 
Ramon Laguarta,N,44%,PepsiCo Inc.,PEP,Beverages (Production/Distribution),Consumer Staples, ,https://www.nasdaq.com/market-activity/insiders/laguarta-ramon-954959,2018-10-03,$91.18 ,$130.85 
Alex Karp,Y,1346%,Palantir Technologies Inc.,PLTR,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/karp-alexander-c-1128701,2020-09-30,$9.50 ,$137.40 
Alex Chriss,N,24%,PayPal Holdings Inc.,PYPL,Business Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/chriss-james-alexander-1073795,2023-09-27,$57.34 ,$70.83 
Cristiano R. Amon,N,16%,QUALCOMM Inc.,QCOM,Radio And Television Broadcasting And Communications Equipment,Technology, ,https://www.nasdaq.com/market-activity/insiders/amon-cristiano-r-891140,2021-06-30,$133.89 ,$154.72 
Leonard Schleifer,Y,17541%,Regeneron Pharmaceuticals Inc.,REGN,Biotechnology: Pharmaceutical Preparations,Health Care, ,https://www.nasdaq.com/market-activity/insiders/schleifer-leonard-s-396388,1991-04-01,$3.00 ,$529.24 
Neil Hunn,N,94%,Roper Technologies Inc.,ROP,Industrial Machinery/Components,Industrials, ,https://www.nasdaq.com/market-activity/insiders/hunn-laurence-neil-764677,2018-09-01,$288.46 ,$560.75 
Barbara Rentler,N,326%,Ross Stores Inc.,ROST,Clothing/Shoe/Accessory Stores,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/rentler-barbara-420708,2014-06-01,$30.94 ,$131.85 
Brian R. Niccol,N,1%,Starbucks Corp.,SBUX,Restaurants,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/niccol-brian-r-953990,2024-09-09,$92.21 ,$93.26 
Tobias Lütke,Y,6096%,Shopify Inc.,SHOP,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/stocks/shop/insider-activity,2015-05-20,$1.70 ,$105.34 
Sassine Ghazi,N,-6%,Synopsys Inc.,SNPS,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/ghazi-sassine-1126226,2024-01-01,$507.95 ,$478.86 
Mike Cannon-Brookes,Y,837%,Atlassian Corp.,TEAM,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/cannon-brookes-michael-986822,2015-12-10,$21.00 ,$196.82 
Mike Sievert,N,171%,T-Mobile US,TMUS,Telecommunications Equipment,Telecommunications, ,https://www.nasdaq.com/market-activity/insiders/sievert-g-michael-392621,2020-04-01,$84.10 ,$228.00 
Elon Musk,Y,25515%,Tesla,TSLA,Auto Manufacturing,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/musk-elon-831665,2010-06-29,$1.27 ,$325.31 
Jeff Green,Y,2158%,Trade Desk Inc.,TTD,"Computer Software: Programming, Data Processing",Technology, ,https://www.nasdaq.com/market-activity/insiders/green-jeffrey-terry-1003823,2016-09-21,$3.01 ,$67.96 
Strauss Zelnick,N,1776%,Take-Two Interactive Software Inc.,TTWO,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/zelnick-strauss-591444,2011-01-01,$12.27 ,$230.23 
